i,j,x_m,y_m,wall_distance_m
2,12,0.299829948,0.000489625387,8.68942707e-05
2,13,0.299831838,0.00050255502,9.99612193e-05
2,14,0.299833932,0.000516841412,0.000114400212
2,15,0.299836252,0.000532626898,0.000130355316
2,16,0.299838824,0.000550068737,0.000147985723
2,17,0.299841675,0.000569340678,0.000167467342
2,18,0.299844836,0.000590634685,0.000188994554
2,19,0.29984834,0.000614162844,0.000212782147
2,20,0.299852226,0.000640159474,0.000239067464
2,21,0.299856535,0.000668883452,0.000268112769
2,22,0.299861315,0.000700620785,0.000300207864
2,23,0.299866618,0.000735687452,0.000335672979
2,24,0.299872502,0.000774432537,0.000374861972
2,25,0.299879031,0.000817241694,0.000418165853
2,26,0.299886278,0.000864540977,0.00046601669
2,27,0.299894324,0.00091680106,0.000518891919
2,28,0.299903257,0.000974541905,0.000577319106
2,29,0.299913179,0.00103833791,0.000641881213
2,30,0.299924201,0.00110882362,0.000713222415
2,31,0.299936447,0.00118669997,0.000792054522
2,32,0.299950057,0.00127274126,0.00087916409
2,33,0.299965187,0.00136780278,0.00097542026
2,34,0.299982011,0.0014728293,0.00108178344
2,35,0.300000724,0.00158886436,0.00119931487
2,36,0.300021543,0.00171706063,0.00132918723
2,37,0.300044713,0.00185869122,0.00147269633
2,38,0.300070508,0.00201516227,0.00163127405
2,39,0.300099233,0.00218802677,0.00180650262
2,40,0.300131233,0.00237899989,0.00200013037
2,41,0.300166894,0.00258997579,0.00221408926
2,42,0.300206648,0.00282304624,0.00245051408
2,43,0.300250984,0.00308052118,0.00271176376
2,44,0.300300447,0.00336495128,0.00300044496
2,45,0.300355653,0.00367915296,0.003319438
2,46,0.300417296,0.00402623588,0.00367192568
2,47,0.300486156,0.00440963328,0.00406142495
2,48,0.300563112,0.00483313544,0.00449182209
2,49,0.300649157,0.00530092647,0.00496741141
2,50,0.30074541,0.00581762497,0.00549293814
2,51,0.300853137,0.00638832867,0.00607364577
2,52,0.300973767,0.0070186637,0.00671532836
2,53,0.301108918,0.00771483875,0.00742438834
2,54,0.301260419,0.00848370466,0.00820790041
2,55,0.301430344,0.00933282003,0.00907368213
2,56,0.301621045,0.0102705233,0.0100303719
2,57,0.301835187,0.0113060118,0.0110875152
2,58,0.3020758,0.0124494291,0.0122556597
2,59,0.302346325,0.01371196,0.0135464607
2,60,0.302650675,0.0151059356,0.0149727972
2,61,0.302993303,0.0166449479,0.0165489007
2,62,0.303379284,0.0183439754,0.0182904969
2,63,0.303814402,0.0202195207,0.0202149625
2,64,0.304305254,0.0222897603,0.0223414993
2,65,0.304859378,0.0245747088,0.0246913248
2,66,0.305485383,0.0270963974,0.0272878846
2,67,0.30619312,0.0298790675,0.0301570861
2,68,0.306993864,0.0329493823,0.0333275569
2,69,0.307900532,0.0363366543,0.0368309308
2,70,0.308927934,0.0400730926,0.0407021629
2,71,0.310093069,0.0441940677,0.0449798787
2,72,0.311415456,0.0487383967,0.0497067595
2,73,0.312917533,0.0537486478,0.0549299681
2,74,0.314625109,0.0592714632,0.0607016194
2,75,0.316567899,0.0653579007,0.0670793006
2,76,0.318780137,0.0720637911,0.0741266455
2,77,0.321301294,0.0794501089,0.0819139696
2,78,0.324176916,0.0875833527,0.0905189714
2,79,0.327459589,0.096535927,0.100027508
2,80,0.331210074,0.106386519,0.110534452
2,81,0.33549862,0.117220459,0.122144636
2,82,0.340406493,0.129130047,0.134973903
2,83,0.346027753,0.142214823,0.149150258
2,84,0.35247132,0.156581767,0.164815146
2,85,0.35986337,0.172345373,0.182124864
2,86,0.368350112,0.189627577,0.201252123
2,87,0.378100998,0.208557459,0.222387765
2,88,0.389312434,0.229270674,0.245742673
2,89,0.40221204,0.251908498,0.271549873
2,90,0.417063543,0.276616397,0.300066857
2,91,0.434172354,0.303541977,0.331578158
2,92,0.453891896,0.332832146,0.36639818
2,93,0.476630734,0.364629285,0.404874343
2,94,0.502860523,0.399066205,0.447390547
2,95,0.533124789,0.436259586,0.494371001
2,96,0.568048463,0.4763016,0.546284454
2,97,0.608348059,0.519249358,0.603648879
2,98,0.654842258,0.565111804,0.667036633
2,99,0.708462538,0.613833699,0.737080172
2,100,0.770263351,0.665276359,0.814478361
2,101,0.841431112,0.719194943,0.900003448
2,102,0.92329111,0.775212251,0.994508764
2,103,1.01731121,0.832789303,1.09893724
2,104,1.12510111,0.891193399,1.21433083
2,105,1.2484058,0.949464896,1.34184088
2,106,1.38909209,1.00638462,1.48273962
2,107,1.5491276,1.06044455,1.63843289
2,108,1.73055198,1.10982491,1.81047413
2,109,1.93544194,1.1523814,2.00057989
2,110,2.16587251,1.18564577,2.21064697
2,111,2.42387914,1.20684226,2.44277133
2,112,2.71142601,1.21292078,2.69926901
2,113,3.03038742,1.20060484,2.98269923
2,114,3.38254798,1.1664498,3.29588995
2,115,3.76962643,1.10690397,3.64196604
